"Beep" "Day" "subjno" "Beepno" "PA" "NA." "PA_lag" "NA._lag"
1 1 1 1 3.60820625577341 2.54510336217829 NA NA
2 1 1 2 4.61729011029975 1.7713815254916 3.60820625577341 2.54510336217829
3 1 1 3 2.69689360586238 1.9918904836033 4.61729011029975 1.7713815254916
4 1 1 4 2.49203633559203 1.4679737078113 2.69689360586238 1.9918904836033
5 1 1 5 3.3197023136228 1.8889625050945 2.49203633559203 1.4679737078113
6 1 1 6 3.45007660332025 2.87578023928242 3.3197023136228 1.8889625050945
7 1 1 7 3.73151717129994 2.51024980649387 3.45007660332025 2.87578023928242
8 1 1 8 2.74081875588912 3.3315492338781 3.73151717129994 2.51024980649387
9 1 1 9 4.44379865966376 2.68175602366365 2.74081875588912 3.3315492338781
10 1 1 10 3.3165517129947 1.70393593100361 4.44379865966376 2.68175602366365
1 2 1 11 1.86406221171058 2.65428270031754 NA NA
2 2 1 12 4.12073248267357 2.85209610822555 1.86406221171058 2.65428270031754
3 2 1 13 4.28071349804359 1.43398004960107 4.12073248267357 2.85209610822555
4 2 1 14 4.6350408045633 2.66823982992166 4.28071349804359 1.43398004960107
5 2 1 15 4.15838839627087 2.83556382834226 4.6350408045633 2.66823982992166
6 2 1 16 3.70068661298894 1.85248437747545 4.15838839627087 2.83556382834226
7 2 1 17 3.4221474005201 2.03117606120121 3.70068661298894 1.85248437747545
8 2 1 18 4.67200056392449 1.40537929402109 3.4221474005201 2.03117606120121
9 2 1 19 3.82344670284493 0.359199696654347 4.67200056392449 1.40537929402109
10 2 1 20 2.95201848118465 0.796950239345248 3.82344670284493 0.359199696654347
1 3 1 21 2.3718909016407 3.22612864191656 NA NA
2 3 1 22 3.33995722170101 2.13694323974429 2.3718909016407 3.22612864191656
3 3 1 23 2.24620832491959 3.27017851952306 3.33995722170101 2.13694323974429
4 3 1 24 3.67503504367266 2.84470834571532 2.24620832491959 3.27017851952306
5 3 1 25 3.23452760571646 1.26625142685457 3.67503504367266 2.84470834571532
6 3 1 26 4.56746040489587 2.94133843851457 3.23452760571646 1.26625142685457
7 3 1 27 3.48131911281128 2.72498239337056 4.56746040489587 2.94133843851457
8 3 1 28 4.37637021277945 2.73359807346727 3.48131911281128 2.72498239337056
9 3 1 29 4.72547506046426 3.70710075429901 4.37637021277945 2.73359807346727
10 3 1 30 5.11099476865397 2.27646049122144 4.72547506046426 3.70710075429901
1 4 1 31 4.94124380270979 2.47954054279785 NA NA
2 4 1 32 3.69851753360473 2.37091538254078 4.94124380270979 2.47954054279785
3 4 1 33 2.83717356818153 2.8561183521997 3.69851753360473 2.37091538254078
4 4 1 34 3.34622005072086 2.96903930206068 2.83717356818153 2.8561183521997
5 4 1 35 3.15542616591505 1.46944394836703 3.34622005072086 2.96903930206068
6 4 1 36 2.18455813005654 1.7246723169533 3.15542616591505 1.46944394836703
7 4 1 37 3.6170887389635 2.05244888343042 2.18455813005654 1.7246723169533
8 4 1 38 3.09091022615734 2.62579586570371 3.6170887389635 2.05244888343042
9 4 1 39 4.27951569155128 1.42076629645114 3.09091022615734 2.62579586570371
10 4 1 40 4.25190493203897 1.56561218174228 4.27951569155128 1.42076629645114
1 5 1 41 2.619105835942 2.24195509611665 NA NA
2 5 1 42 2.17957990176175 3.22977654191549 2.619105835942 2.24195509611665
3 5 1 43 2.68035454660499 2.86557676103285 2.17957990176175 3.22977654191549
4 5 1 44 3.25492616217963 2.42142297395588 2.68035454660499 2.86557676103285
5 5 1 45 3.32069914761831 2.469855394323 3.25492616217963 2.42142297395588
6 5 1 46 3.14264602460955 2.31719408129037 3.32069914761831 2.469855394323
