"id" "day" "beep" "obs" "PA"
1 1 1 1 2
1 1 2 2 3
1 1 3 3 2
1 1 4 4 2
1 1 5 5 2
1 1 6 6 2
1 1 7 7 0
1 1 8 8 1
1 1 9 9 2
1 1 10 10 1
1 2 1 11 2
1 2 2 12 1
1 2 3 13 1
1 2 4 14 1
1 2 5 15 3
1 2 6 16 1
1 2 7 17 1
1 2 8 18 2
1 2 9 19 2
1 2 10 20 2
1 3 1 21 4
1 3 2 22 1
1 3 3 23 2
1 3 4 24 2
1 3 5 25 3
1 3 6 26 1
1 3 7 27 2
1 3 8 28 2
1 3 9 29 1
1 3 10 30 3
1 4 1 31 2
1 4 2 32 1
1 4 3 33 2
1 4 4 34 2
1 4 5 35 2
1 4 6 36 2
1 4 7 37 3
1 4 8 38 1
1 4 9 39 1
1 4 10 40 2
1 5 1 41 1
1 5 2 42 1
1 5 3 43 1
1 5 4 44 1
1 5 5 45 0
1 5 6 46 2
1 5 7 47 2
1 5 8 48 3
1 5 9 49 2
1 5 10 50 1
1 6 1 51 4
1 6 2 52 4
1 6 3 53 1
1 6 4 54 2
1 6 5 55 2
1 6 6 56 2
1 6 7 57 2
1 6 8 58 1
1 6 9 59 2
1 6 10 60 3
1 7 1 61 2
1 7 2 62 2
1 7 3 63 3
1 7 4 64 2
1 7 5 65 1
1 7 6 66 2
1 7 7 67 3
1 7 8 68 3
1 7 9 69 2
1 7 10 70 2
2 1 1 1 2
2 1 2 2 3
2 1 3 3 2
2 1 4 4 2
2 1 5 5 3
2 1 6 6 2
2 1 7 7 3
2 1 8 8 3
2 1 9 9 3
2 1 10 10 4
2 2 1 11 1
2 2 2 12 2
2 2 3 13 2
2 2 4 14 2
2 2 5 15 2
2 2 6 16 1
2 2 7 17 1
2 2 8 18 2
2 2 9 19 3
2 2 10 20 2
2 3 1 21 3
2 3 2 22 2
2 3 3 23 3
2 3 4 24 2
2 3 5 25 3
2 3 6 26 3
2 3 7 27 2
2 3 8 28 3
2 3 9 29 3
2 3 10 30 3
2 4 1 31 3
2 4 2 32 2
2 4 3 33 3
2 4 4 34 3
2 4 5 35 2
2 4 6 36 1
2 4 7 37 1
2 4 8 38 2
2 4 9 39 2
2 4 10 40 3
2 5 1 41 2
2 5 2 42 2
2 5 3 43 1
2 5 4 44 1
2 5 5 45 2
2 5 6 46 2
2 5 7 47 2
2 5 8 48 2
2 5 9 49 2
2 5 10 50 1
2 6 1 51 4
2 6 2 52 3
2 6 3 53 3
2 6 4 54 1
2 6 5 55 3
2 6 6 56 2
2 6 7 57 2
2 6 8 58 3
2 6 9 59 2
2 6 10 60 1
2 7 1 61 3
2 7 2 62 0
2 7 3 63 3
2 7 4 64 3
2 7 5 65 2
2 7 6 66 2
