"id" "day" "beep" "obs" "StressEvents" "Valence"
1 1 1 1 3 4
1 1 2 2 3 5
1 1 3 3 1 6
1 1 4 4 1 4
1 1 5 5 2 5
1 1 6 6 3 6
1 1 7 7 1 5
1 1 8 8 0 4
1 1 9 9 1 5
1 1 10 10 0 5
1 2 1 11 1 5
1 2 2 12 0 5
1 2 3 13 2 5
1 2 4 14 1 5
1 2 5 15 1 6
1 2 6 16 0 5
1 2 7 17 1 6
1 2 8 18 0 5
1 2 9 19 3 5
1 2 10 20 1 4
1 3 1 21 0 5
1 3 2 22 1 5
1 3 3 23 0 5
1 3 4 24 1 6
1 3 5 25 3 7
1 3 6 26 0 6
1 3 7 27 0 5
1 3 8 28 3 4
1 3 9 29 2 5
1 3 10 30 0 5
1 4 1 31 1 6
1 4 2 32 1 6
1 4 3 33 0 5
1 4 4 34 0 4
1 4 5 35 0 6
1 4 6 36 1 5
1 4 7 37 0 5
1 4 8 38 0 5
1 4 9 39 1 5
1 4 10 40 1 5
1 5 1 41 0 4
1 5 2 42 1 6
1 5 3 43 0 5
1 5 4 44 1 5
1 5 5 45 1 5
1 5 6 46 1 5
1 5 7 47 0 5
1 5 8 48 0 6
1 5 9 49 0 5
1 5 10 50 1 5
1 6 1 51 0 6
1 6 2 52 0 6
1 6 3 53 1 6
1 6 4 54 0 5
1 6 5 55 0 6
1 6 6 56 0 5
1 6 7 57 1 6
1 6 8 58 1 4
1 6 9 59 0 5
1 6 10 60 0 6
1 7 1 61 0 4
1 7 2 62 0 4
1 7 3 63 0 4
1 7 4 64 2 4
1 7 5 65 0 5
1 7 6 66 0 5
1 7 7 67 1 4
1 7 8 68 0 5
1 7 9 69 0 6
1 7 10 70 0 6
2 1 1 1 0 6
2 1 2 2 0 6
2 1 3 3 1 4
2 1 4 4 0 5
2 1 5 5 0 5
2 1 6 6 0 5
2 1 7 7 1 5
2 1 8 8 0 4
2 1 9 9 2 6
2 1 10 10 1 6
2 2 1 11 0 5
2 2 2 12 0 6
2 2 3 13 1 4
2 2 4 14 2 5
2 2 5 15 0 5
2 2 6 16 0 5
2 2 7 17 0 5
2 2 8 18 0 5
2 2 9 19 1 6
2 2 10 20 0 5
2 3 1 21 1 6
2 3 2 22 0 4
2 3 3 23 1 4
2 3 4 24 1 6
2 3 5 25 0 5
2 3 6 26 0 4
2 3 7 27 0 4
2 3 8 28 1 5
2 3 9 29 1 6
2 3 10 30 1 5
2 4 1 31 1 5
2 4 2 32 1 6
2 4 3 33 0 6
2 4 4 34 2 5
2 4 5 35 2 5
2 4 6 36 1 4
2 4 7 37 1 5
2 4 8 38 0 5
2 4 9 39 0 4
2 4 10 40 1 5
2 5 1 41 0 6
2 5 2 42 1 4
2 5 3 43 0 5
2 5 4 44 0 5
2 5 5 45 0 4
2 5 6 46 3 5
2 5 7 47 0 5
2 5 8 48 2 5
2 5 9 49 0 3
2 5 10 50 0 7
2 6 1 51 0 5
2 6 2 52 0 5
2 6 3 53 1 5
2 6 4 54 1 6
2 6 5 55 0 6
2 6 6 56 1 5
2 6 7 57 0 5
2 6 8 58 3 4
2 6 9 59 2 6
2 6 10 60 1 5
2 7 1 61 0 7
2 7 2 62 2 4
2 7 3 63 1 5
2 7 4 64 4 6
2 7 5 65 1 5
2 7 6 66 1 5
2 7 7 67 1 4
2 7 8 68 1 5
2 7 9 69 2 5
2 7 10 70 1 4
3 1 1 1 1 5
3 1 2 2 1 5
3 1 3 3 2 5
3 1 4 4 0 4
3 1 5 5 1 5
3 1 6 6 0 6
3 1 7 7 2 5
3 1 8 8 0 4
3 1 9 9 0 5
3 1 10 10 0 5
3 2 1 11 0 5
3 2 2 12 2 3
3 2 3 13 1 6
3 2 4 14 1 4
3 2 5 15 0 5
3 2 6 16 1 6
3 2 7 17 0 4
3 2 8 18 0 6
3 2 9 19 2 4
3 2 10 20 0 5
3 3 1 21 1 5
3 3 2 22 2 4
3 3 3 23 0 5
3 3 4 24 0 5
3 3 5 25 1 5
3 3 6 26 0 4
3 3 7 27 1 5
3 3 8 28 0 6
3 3 9 29 0 5
3 3 10 30 0 5
3 4 1 31 0 5
3 4 2 32 0 5
3 4 3 33 0 5
3 4 4 34 0 5
3 4 5 35 0 5
3 4 6 36 1 3
